#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1717837436 1147501158 1056973072 0 0 20547046 18918550 316915 445 66392.65 81705.56 28392.39 15024.72
1717837446 1147501299 1056973078 0 0 20547498 18918978 316915 445 66173.39 81505.34 28612.06 15225.81
1717837457 1147501759 1056973092 0 0 20549018 18919251 316917 445 66030.16 81385.71 28754.37 15344.92
1717837467 1147502331 1056973110 0 0 20549385 18919677 316917 445 65849.69 81132.16 28935.97 15600.29
1717837477 1147503754 1056973154 0 0 20550212 18920732 316917 445 65184.25 80304.73 29603.13 16426.51
1717837487 1147505009 1056973184 0 0 20551243 18921463 316917 445 64791.45 80544.90 29993.25 16186.30
1717837497 1147508261 1056973268 0 0 20552988 18923037 316917 445 64410.46 79721.29 30373.15 17011.27
1717837508 1147518308 1056977386 0 0 20558984 18928429 316917 445 58830.04 74201.32 35955.07 22525.94
1717837518 1147523017 1056979970 0 0 20566017 18942671 316917 445 58863.27 74340.16 35923.05 22394.25
1717837528 1147525735 1056981016 0 0 20574488 18958235 316917 445 58549.85 73801.36 36234.21 22930.97
1717837538 1147527282 1056981234 0 0 20582525 18972778 316917 445 58344.58 73712.60 36440.12 23018.03
1717837549 1147539298 1056991680 0 0 20585880 18975851 316917 445 56885.69 71427.53 37898.77 25301.62
1717837559 1147553246 1057004698 0 0 20586187 18976005 316917 445 56603.01 70013.46 38181.57 26717.17
1717837569 1147557022 1057007950 0 0 20586324 18976053 316917 445 56622.08 69990.36 38162.96 26740.39
1717837580 1147559692 1057010186 0 0 20586477 18976246 316917 445 56676.89 69982.03 38107.57 26749.15
1717837591 1147563134 1057013028 0 0 20586628 18976433 316917 445 56898.82 69690.21 37886.73 27041.02
1717837601 1147565505 1057015054 0 0 20586803 18976490 316917 445 56998.41 69589.08 37786.59 27141.55
1717837612 1147569479 1057018628 0 0 20586992 18976685 316917 445 56962.96 69628.68 37822.00 27101.02
1717837622 1147573949 1057022536 0 0 20587273 18977083 316917 445 52693.35 61571.50 42091.68 35159.13
1717837632 1147578804 1057026966 0 0 20587753 18977773 316917 445 52402.82 59229.16 42381.27 37502.65
1717837643 1147583352 1057030462 0 0 20588261 18978548 316917 445 58376.95 69556.89 36408.11 27173.41
1717837653 1147585140 1057031116 0 0 20588408 18978983 316917 445 59903.29 75555.63 34880.18 21175.10
1717837665 1147586309 1057031366 0 0 20589541 18979829 316917 445 59698.20 75372.47 35087.79 21363.55
1717837675 1147589328 1057032674 0 0 20591070 18981189 316917 445 58940.75 74904.93 35844.31 21825.81
1717837688 1147593698 1057035394 0 0 20591515 18981688 316917 445 58347.25 74295.36 36437.33 22435.84
1717837698 1147597046 1057037554 0 0 20591791 18982094 316917 445 58825.62 74144.36 35959.48 22586.27
1717837708 1147599202 1057038764 0 0 20592593 18982672 316917 445 59073.07 73541.41 35711.56 23189.21
1717837719 1147601650 1057040852 0 0 20592980 18983003 316917 445 59042.04 73494.43 35741.99 23248.61
1717837729 1147602539 1057041262 0 0 20593291 18983342 316917 445 59005.20 73956.76 35780.29 22773.87
1717837740 1147604539 1057042782 0 0 20593593 18983519 316917 445 58914.96 73507.43 35869.11 23223.20
1717837750 1147605557 1057043706 0 0 20593841 18983755 316917 445 58882.23 74170.18 35902.23 22561.05
1717837761 1147605916 1057043772 0 0 20593996 18983895 316917 445 58953.86 74198.77 35830.75 22531.86
