#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1717837437 1545202357 1408942248 0 0 11131173 11667618 500975 436 60387.01 87556.62 34382.75 9189.85
1717837447 1545202410 1408942252 0 0 11131531 11667881 500975 436 60202.79 87462.09 34566.33 9283.49
1717837457 1545202868 1408942266 0 0 11133159 11668275 500975 436 59950.33 87313.95 34818.29 9434.12
1717837467 1545203864 1408942304 0 0 11133890 11668978 500975 436 59512.80 86845.66 35255.44 9900.81
1717837478 1545205419 1408942344 0 0 11134818 11670108 500975 436 58787.64 85936.52 35982.98 10809.94
1717837488 1545206753 1408942380 0 0 11135807 11670956 500975 436 58861.43 86019.21 35906.74 10727.86
1717837498 1545213485 1408943522 0 0 11140125 11674678 500975 436 54145.08 82339.16 40624.14 14407.95
1717837508 1545224311 1408949186 0 0 11147616 11681425 500975 436 52056.94 79975.04 42717.53 16772.43
1717837519 1545227884 1408950954 0 0 11157129 11691239 500975 436 52397.00 79597.73 42378.75 17148.73
1717837529 1545229640 1408951582 0 0 11166798 11702098 500975 436 52000.11 79482.80 42768.20 17263.67
1717837539 1545231828 1408952318 0 0 11172956 11709760 500975 436 52437.97 80472.86 42329.59 16273.56
1717837550 1545249806 1408968682 0 0 11174089 11712337 500975 436 48563.09 79481.74 46205.54 17265.26
1717837560 1545258568 1408976562 0 0 11174203 11712734 500975 436 47936.63 77739.88 46831.99 19006.13
1717837570 1545262127 1408979694 0 0 11174224 11712950 500975 436 47937.26 77623.43 46831.36 19122.61
1717837583 1545265966 1408982742 0 0 11174379 11713211 500975 436 47886.54 77598.16 46882.09 19147.84
1717837593 1545268779 1408985300 0 0 11174423 11713324 500975 436 47850.61 77630.09 46918.01 19116.48
1717837604 1545271305 1408987430 0 0 11174531 11713516 500975 436 47856.12 77625.80 46912.50 19120.82
1717837614 1545276008 1408991640 0 0 11174759 11713738 500975 436 40093.37 75035.36 54675.41 21710.62
1717837625 1545281173 1408996368 0 0 11175438 11713993 500975 436 38679.38 72287.64 56089.83 24458.82
1717837635 1545284735 1408999406 0 0 11176189 11714503 500975 436 44310.58 76651.05 50458.56 20094.92
1717837645 1545286827 1409000394 0 0 11176574 11714941 500975 436 53328.52 77935.34 41440.73 18810.63
