#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1717837433 3105334413 2694486282 25045086 422710 46078460 41149168 1215066 98286 64148.66 83364.20 30621.05 13382.27
1717837444 3105334413 2694486282 25045086 422710 46078748 41149368 1215066 98286 64089.53 83330.20 30679.18 13416.27
1717837454 3105334923 2694486302 25045086 422710 46080901 41149933 1215066 98288 63530.20 83073.61 31238.87 13673.43
1717837464 3105335961 2694486334 25045086 422710 46081341 41150345 1215066 98288 63297.45 82770.75 31474.80 13975.79
1717837474 3105337446 2694486382 25045086 422710 46082519 41151303 1215066 98288 62384.13 82066.47 32384.49 14680.27
1717837484 3105338820 2694486412 25045086 422710 46083466 41152208 1215066 98288 62533.25 82258.96 32235.98 14487.58
1717837495 3105343886 2694486578 25045086 422710 46087257 41155642 1215066 98288 60156.53 80184.44 34620.68 16558.90
1717837505 3105355447 2694491744 25045086 422710 46094091 41160484 1215066 98288 56297.52 76009.44 38473.85 20739.94
1717837516 3105359779 2694494398 25045086 422710 46103664 41169380 1215066 98288 55555.38 76285.70 39213.51 20456.96
1717837526 3105363674 2694496252 25045086 422710 46112586 41178430 1215066 98288 55252.75 75647.05 39518.45 21097.55
1717837536 3105365053 2694496728 25045086 422710 46120509 41186159 1215066 98288 55287.49 75283.41 39482.23 21463.08
1717837547 3105381054 2694511088 25045086 422710 46121223 41186961 1215066 98288 52871.72 72990.15 41896.90 23755.82
1717837557 3105389248 2694518532 25045086 422710 46121333 41187073 1215066 98288 52786.88 73061.36 41981.82 23685.11
1717837567 3105393210 2694522090 25045086 422710 46121459 41187125 1215066 98288 52778.50 73067.37 41990.12 23678.11
1717837578 3105395748 2694523858 25045086 422710 46121751 41187356 1215066 98288 52743.00 73095.11 42025.20 23651.87
1717837588 3105399005 2694526694 25045086 422710 46121884 41187472 1215066 98288 50997.64 73079.55 43770.98 23667.40
1717837598 3105402062 2694529340 25045086 422710 46122032 41187641 1215066 98288 50855.45 73207.82 43913.18 23545.59
1717837609 3105405653 2694532056 25045086 422710 46122380 41187819 1215066 98288 53853.71 73111.82 40915.95 23634.64
1717837621 3105409521 2694535500 25045086 422710 46122844 41188326 1215066 98288 49366.21 64965.00 45402.95 31781.46
1717837631 3105413168 2694538652 25045086 422710 46123493 41189066 1215066 98288 49055.36 64401.91 45713.26 32345.13
1717837642 3105416393 2694540534 25045086 422710 46124220 41189617 1215066 98288 57751.32 76984.80 37017.84 19761.66
