time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1717837436        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837446        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837456        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837466        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837476        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837487        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837497        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837507        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837517        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837528        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837538        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837548        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837559        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837569        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837579        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837590        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837600        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837610        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837621        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837631        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837641        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837651        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837662        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837672        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837682        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837693        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837703        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837713        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837724        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837734        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837744        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837755        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837765        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837776        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837786        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837796        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837807        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837817        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837827        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837837        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837848        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837858        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837868        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837879        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837889        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837899        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837910        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837920        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837930        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837941        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837951        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837961        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837971        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837982        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837992        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838002        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838013        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838023        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838033        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838043        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838054        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838064        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838074        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838085        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838095        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838105        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838116        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838126        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838136        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838146        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838157        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838167        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838177        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838188        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838198        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838208        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838218        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838229        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838239        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838249        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838260        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838270        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838280        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838290        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838301        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838311        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838321        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838331        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838342        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838352        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838362        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838373        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838383        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838393        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838403        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838414        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838424        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838436        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838447        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838457        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838467        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838478        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838488        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838498        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838508        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838519        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838529        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838539        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838550        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838560        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838570        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838580        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838591        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838602        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838613        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838623        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838635        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838649        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838660        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838670        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838680        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838690        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838701        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838711        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838722        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838732        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838743        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838753        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838763        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838774        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
