TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1717838087        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838097        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838107        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838117        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838128        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838138        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838148        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838159        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838169        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838179        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838190        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838200        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838210        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838220        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838231        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838241        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838251        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838262        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838272        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838282        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838292        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838303        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838313        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838323        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838334        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838344        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838354        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838364        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838375        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838385        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838395        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838405        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838416        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838426        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838438        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838449        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838459        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838469        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838479        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838490        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838500        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838510        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838521        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838531        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838541        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838551        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838562        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838572        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838582        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838592        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838603        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838613        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838623        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838637        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838649        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838662        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838672        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838683        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838693        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838703        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838714        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838724        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838734        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838745        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838755        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838765        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838775        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838786        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838796        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838806        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838817        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838827        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838837        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838847        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838858        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838868        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838878        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838889        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838899        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838909        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838919        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838930        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838940        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838950        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838961        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838971        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838982        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838992        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839002        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839012        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839023        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839033        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839043        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839053        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839064        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839074        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717839084        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
