TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1717837433        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837444        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837454        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837464        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837474        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837484        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837495        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837505        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837516        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837526        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837536        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837547        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837557        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837567        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837578        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837588        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837598        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837609        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837621        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837631        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837642        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837652        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837662        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837673        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837683        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837693        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837703        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837714        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837724        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837734        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837745        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837755        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837766        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
