TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1717837437 0 0 0
1717837447 0 0 0
1717837457 0 0 0
1717837468 0 0 0
1717837478 0 0 0
1717837488 0 0 0
1717837498 0 0 0
1717837508 0 0 0
1717837519 0 0 0
1717837529 0 0 0
1717837539 0 0 0
1717837550 0 0 0
1717837560 0 0 0
1717837570 0 0 0
1717837583 0 0 0
1717837593 0 0 0
1717837604 0 0 0
1717837614 0 0 0
1717837625 0 0 0
1717837635 0 0 0
1717837645 0 0 0
1717837656 0 0 0
1717837666 0 0 0
1717837677 0 0 0
1717837687 0 0 0
1717837697 0 0 0
1717837707 0 0 0
1717837718 0 0 0
1717837728 0 0 0
1717837739 0 0 0
1717837749 0 0 0
1717837759 0 0 0
1717837770 0 0 0
1717837780 0 0 0
1717837790 0 0 0
1717837801 0 0 0
1717837811 0 0 0
1717837821 0 0 0
1717837832 0 0 0
1717837842 0 0 0
1717837852 0 0 0
1717837863 0 0 0
1717837873 0 0 0
1717837883 0 0 0
1717837894 0 0 0
1717837904 0 0 0
1717837914 0 0 0
1717837924 0 0 0
1717837935 0 0 0
1717837945 0 0 0
1717837955 0 0 0
1717837966 0 0 0
1717837976 0 0 0
1717837986 0 0 0
1717837996 0 0 0
1717838007 0 0 0
1717838017 0 0 0
1717838027 0 0 0
1717838038 0 0 0
1717838048 0 0 0
1717838058 0 0 0
1717838069 0 0 0
1717838079 0 0 0
1717838089 0 0 0
1717838099 0 0 0
1717838110 0 0 0
1717838120 0 0 0
1717838130 0 0 0
1717838140 0 0 0
1717838151 0 0 0
1717838161 0 0 0
1717838171 0 0 0
1717838182 0 0 0
1717838192 0 0 0
1717838202 0 0 0
1717838212 0 0 0
1717838223 0 0 0
1717838233 0 0 0
1717838243 0 0 0
1717838254 0 0 0
1717838264 0 0 0
1717838274 0 0 0
1717838284 0 0 0
1717838295 0 0 0
1717838305 0 0 0
1717838315 0 0 0
1717838325 0 0 0
1717838336 0 0 0
1717838346 0 0 0
