TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1717837436        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837446        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837456        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837467        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837477        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837487        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837497        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837507        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837518        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837528        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837538        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837549        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837559        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837569        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837580        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837590        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837600        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837611        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837621        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837631        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837642        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837652        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837662        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837673        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837683        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837694        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837704        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837714        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837725        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837735        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837745        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837756        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837766        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837776        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837787        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837797        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837807        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837818        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
